calories;protein;fat;sodium;fiber;carbo;sugars;potass;vitamins;rating;KPI
77.0;77.0;77.0;77.0;77.0;77.0;77.0;77.0;77.0;77.0;count
106.88311688311688;2.5454545454545454;1.0129870129870129;159.67532467532467;2.1519480519480516;14.597402597402597;6.922077922077922;96.07792207792208;28.246753246753247;42.66532467532468;mean
19.484119056820845;1.0947897484455338;1.006472559480393;83.83229524009317;2.383363964387222;4.278956280325908;4.444885392419359;71.28681250926212;22.342522500566304;14.047301443826328;std
50.0;1.0;0.0;0.0;0.0;-1.0;-1.0;-1.0;0.0;18.04;min
100.0;2.0;0.0;130.0;1.0;12.0;3.0;40.0;25.0;33.17;25%
110.0;3.0;1.0;180.0;2.0;14.0;7.0;90.0;25.0;40.4;50%
110.0;3.0;2.0;210.0;3.0;17.0;11.0;120.0;25.0;50.83;75%
160.0;6.0;5.0;320.0;14.0;23.0;15.0;330.0;100.0;93.7;max
